pattern,category,severity,canonical,note
特设支部,组织表述,blocker,请回原文核对组织名称；如非权威出处不得使用“特设支部”,该提法已列为高危错误提法种子项。
民盟特设支部,组织表述,blocker,请回原文核对组织名称；如非权威出处不得使用“民盟特设支部”,涉及上海民盟组织史时尤其要核对。
沈均儒,人物错字,blocker,沈钧儒,核心历史人物姓名错字。
沈钧如,人物错字,blocker,沈钧儒,核心历史人物姓名错字。
史梁,人物错字,blocker,史良,核心历史人物姓名错字。
黄严培,人物错字,blocker,黄炎培,核心历史人物姓名错字。
费孝同,人物错字,blocker,费孝通,核心历史人物姓名错字。
钱伟常,人物错字,blocker,钱伟长,核心历史人物姓名错字。
中国民主同盟成立于1941年3月19日,史实雷区,high,涉及建盟日期须标注存争议并按最新档案考证和正式口径核定,建盟日期类表述命中即进入人工复核。
中国民主同盟成立于1941年10月10日,史实雷区,high,涉及建盟日期须标注存争议并按最新档案考证和正式口径核定,建盟日期类表述命中即进入人工复核。
建盟日期,史实雷区,high,涉及建盟日期须标注存争议并按最新档案考证和正式口径核定,不要在未核定情况下直接下结论。
中国民主政团同盟成立时间,史实雷区,high,涉及建盟日期和组织沿革须标注存争议并按最新档案考证和正式口径核定,需区分组织沿革、成立会议和公开纪念表述。
上海民盟市委,机构表述,high,民盟上海市委,正式机构名称优先使用“中国民主同盟上海市委员会”或“民盟上海市委”。
上海市民盟,机构表述,medium,民盟上海市委,涉及组织机构时需核对具体是市委、区委、基层组织还是泛称。
民盟市委会,机构表述,medium,民盟上海市委,上海地方组织表述需补足地域和机构层级。
中国民主同盟上海市委,机构表述,medium,中国民主同盟上海市委员会,正式全称应核对为“中国民主同盟上海市委员会”。
民盟中央委员会,机构表述,medium,中国民主同盟中央委员会,正式全称应核对为“中国民主同盟中央委员会”；简称可用“民盟中央”。
张兰,人物错字,blocker,张澜,核心历史人物姓名错字。
章澜,人物错字,blocker,张澜,核心历史人物姓名错字。
梁漱明,人物错字,blocker,梁漱溟,核心历史人物姓名错字。
陶行之,人物错字,blocker,陶行知,核心历史人物姓名错字。
闻一朵,人物错字,blocker,闻一多,核心历史人物姓名错字。
李公仆,人物错字,blocker,李公朴,核心历史人物姓名错字。
五一号召,史实表述,medium,中共中央发布“五一口号”,涉及“五一口号”时应核对正式名称、发布主体和时间。
旧政治协商会议,史实表述,medium,旧政协,涉及政协史时需区分旧政协、新政协和中国人民政治协商会议。
新政治协商会议,史实表述,medium,新政协,涉及政协史时需区分旧政协、新政协和中国人民政治协商会议。
80周年就是民盟成立80周年,80周年口径,high,先核定纪念对象；上海民盟地方组织、全国民盟、抗战胜利和具体事件不得混写,80周年专题写作高风险表述。
八秩华诞可泛指所有民盟纪念主题,80周年口径,high,八秩华诞必须指向明确纪念对象,避免把上海地方组织纪念与全国民盟史、抗战胜利等主题混写。
Drive资料自动混入主语料,资料边界,high,Google Drive工作材料先作为外部参考层，确认公开属性后才可进入微信公众号主语料,防止内部材料进入公开语料层。
只同步Obsidian不提交GitHub,维护流程,medium,专题或月度维护完成后应同步Obsidian并提交GitHub,用于长期维护闭环。
直接凭主题写80周年稿,80周年流程,high,先查核心材料总表，再进入对应素材包，事实无来源则标[待核],防止80周年稿件无来源成稿。
先写成稿后再找来源,引用流程,high,先检索来源和素材包，再组织正文,防止事实性表述失去溯源。
上海民盟成立80周年,80周年口径,high,上海民盟地方组织建立80周年,写80周年时须核定纪念对象，避免与全国民盟成立80周年混写。
民盟成立80周年上海,80周年口径,high,先核定是全国民盟成立纪念还是上海地方组织纪念,周年纪念对象混写风险。
公众号报道已经证明史实,史料边界,high,公众号文章只能作为公开线索和表述参考，史实定论需回权威资料核验,防止把宣传成品当作最终史料。
无需人工终审,审稿流程,blocker,正式发稿必须人工终审,机器核验不能替代正式审稿。
旧政协就是新政协,史实表述,high,旧政协、新政协和中国人民政治协商会议第一届全体会议须区分,政协史高风险混写。
救国会就是民盟,史实表述,high,救国会、统一建国同志会、中国民主政团同盟、中国民主同盟须区分,组织沿革高风险简化。
